,coords,hashtags,media,text,url,x,y
0,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]","['whoopsie', 'home']",['http://pbs.twimg.com/media/DHoDMLHXUAArGjv.jpg'],Really hope that Kim/Stephen S get their bags since I have their ticket in NYC. Lil far from Calgary eh @WestJet  @AirCanada #whoopsie #home https://t.co/yeGIOgGyXK,https://t.co/q26YzWiJzE,-73.9685415,40.780709
0,"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",[],['http://pbs.twimg.com/media/DHoDAb0UMAEFcXZ.jpg'],@tribelaw well the Boston Police  AND  Steve Bannon are TOUGH &amp; SMART.....so many words....trump knows so many words.... https://t.co/19JpBAT0Yo,https://t.co/pmaYdoic1n,-119.30660750000001,37.2691755
0,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",[],['http://pbs.twimg.com/media/DHoDVdBXkAMaiZB.jpg'],"If your case for keeping confederate statues is ""Jim Crow wasn't as bad a liberalism,"" it's...not a very good case
https://t.co/5HPsd7M40Q https://t.co/Hg7kuKuwDY",https://t.co/KYNhSKiIGD,-74.7243235,40.073040500000005
0,"[[[-122.018023, 36.964226], [-122.018023, 36.964226], [-122.018023, 36.964226], [-122.018023, 36.964226]]]",[],['http://pbs.twimg.com/media/DHoDXFZUMAAG-po.jpg'],I got him to smile! My heart is so full because of this boy @mooselopez63 and my husband @VuelvoHappy ! Want to bring our whole family here! https://t.co/oV5fxidq9K,https://t.co/VzgDZNcR9e,-122.018023,36.964226
0,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",['OSKFF17'],['http://pbs.twimg.com/ext_tw_video_thumb/899034519721738240/pu/img/UqtWvmZFH5cTux9P.jpg'],"Bring your bestie to @MetrographNYC for the screening of YES, MADAM tomorrow at 7pm  @SubwayCinema #OSKFF17 https://t.co/kSsbUk2myP https://t.co/uVUmUIbFld",https://t.co/yBFZZSCcre,-73.9685415,40.780709
0,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]","['dragcon', 'dragconnyc', 'dragcon2017']",['http://pbs.twimg.com/media/DHoDeEoVoAAZtrO.jpg'],Who's ready for dragcon!!!!! Come br miss @theonlymadd booth to get you fixed in some amazing things!!! #dragcon #dragconnyc #dragcon2017 https://t.co/2s7fCNV9Qi,https://t.co/DL42kDHo4O,-73.9685415,40.780709
0,"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",[],['http://pbs.twimg.com/media/DHoDusTWsAA7TR2.jpg'],I really haven't listened to anything other than Science Fiction since Thursday and that already seems like a lifetime ago https://t.co/9TnUWGE0L6,https://t.co/ZY2vuGE5Ly,-73.8311875,40.6708795
0,"[[[-122.412999, 37.766877], [-122.412999, 37.766877], [-122.412999, 37.766877], [-122.412999, 37.766877]]]",['ClearTheShelters'],['http://pbs.twimg.com/media/DHoD0bgUwAEItrI.jpg'],"Here's one of 25 happy families created today! Don't worry, we have plenty more critters waiting for you. #ClearTheShelters @nbcbayarea https://t.co/uiYf1C8IJg",https://t.co/NEVqO765cF,-122.412999,37.766877
0,"[[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]]",['scuba'],['http://pbs.twimg.com/tweet_video_thumb/DHoDqWCUAAApFU-.jpg'],"@mfarca @lifesanattitude @JoJoDiamonds @DrBobbyS @suziday123 @bdckool @KKEntGroup @freetree64 @Amber777joy @nicottorres1 @always5star @MoMo_SanDiego @pismoeyedoc @steve_hamm5 @MarshallRTeague @CattMcCreary @Rockyourmessage @ThatsJusStupid @Ron_1943 @SimonettaLein @healthmediagal1 @DrDeniseMD @drjoyce_knudsen Your welcome Michael. Have a wonderful vacation. I'm going to the beach club, I need the pool &amp; a good swim. Enjoy the #scuba &amp; FunInTheSun🌞 https://t.co/YJvO3YVxBy",https://t.co/3bm2Tc31KK,-73.9487755,40.655138
0,"[[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]]",[],['http://pbs.twimg.com/tweet_video_thumb/DHoD9MKXgAMeEPb.jpg'],@tm00123 @realDonaldTrump @BreitbartNews General Kelly is running this show (babysitting trump). The minute he took on the COS position he honed in on bannon... https://t.co/UM6XHfiJwb,https://t.co/5FpoWNuDxw,-73.9487755,40.655138
